Hartsfield Jackson Atlanta International,United States,ATL,-84,34
Beijing Capital International,China,PEK,117,40
Dubai International,United Arab Emirates,DXB,55,25
Chicago O’Hare International,United States,ORD,-88,41
Tokyo International,Japan,HND,140,36
London Heathrow,United Kingdom,LHR,-97,31
Los Angeles International,United States,LAX,-118,34
Hong Kong International Kai Tak,Hong Kong,HKG,114,22
Charles de Gaulle International,France,CDG,3,49
Dallas Fort Worth International,United States,DFW,-97,33
Atatürk International,Turkey,IST,29,41
Frankfurt am Main International,Germany,FRA,9,50
Shanghai Pudong International,China,PVG,122,31
Amsterdam Schiphol,Netherlands,AMS,5,52
John F Kennedy International,United States,JFK,-91,47
Singapore Changi International,Singapore,SIN,104,1
Guangzhou Baiyun International,China,CAN,113,23
Soekarno-Hatta International,Indonesia,CGK,-6,107
Denver International,United States,DEN,-105,40
Suvarnabhumi (Bangkok),Thailand,BKK,101,14
San Francisco International,United States,SFO,-103,30
Incheon International,South Korea,ICN,126,37
Kuala Lumpur International,Malaysia,KUL,102,3
 Madrid Barajas International,Spain,MAD,-4,40
 Indira Gandhi International (New Delhi),India,DEL,77,29
 McCarran International (Las Vegas),United States,LAS,-115,36
 Charlotte Douglas International,United States,CLT,-81,35
Miami International,United States,MIA,-80,26
 Phoenix Sky Harbor International,United States,PHX,-112,33
George Bush Intercontinental Houston,United States,IAH,-95,30
